#Raman spectra
#Laser energy   2.54 eV
#Raman shift (cm-1), Raman Spectra (XX,YY,ZZ,s+s+,s-s-,XY,YX,s+s-,s-s+)
     0.0300  0.21233487E+004  0.43166024E+004  0.23099646E+003  0.16526786E+004  0.16491609E+004  0.29731241E+003  0.27256018E+003  0.18588623E+004  0.18491220E+004
     0.3953  0.21519838E+004  0.44225110E+004  0.23428939E+003  0.16822542E+004  0.16786590E+004  0.30077432E+003  0.27582720E+003  0.19001632E+004  0.18900198E+004
     0.7606  0.21816932E+004  0.45332815E+004  0.23771252E+003  0.17130446E+004  0.17093690E+004  0.30434745E+003  0.27920171E+003  0.19433398E+004  0.19327703E+004
     1.1260  0.22125480E+004  0.46492420E+004  0.24127498E+003  0.17451273E+004  0.17413681E+004  0.30803865E+003  0.28269038E+003  0.19885219E+004  0.19775017E+004
     1.4913  0.22446263E+004  0.47707511E+004  0.24498685E+003  0.17785862E+004  0.17747401E+004  0.31185536E+003  0.28630047E+003  0.20358521E+004  0.20243548E+004
     1.8566  0.22780140E+004  0.48982026E+004  0.24885932E+003  0.18135129E+004  0.18095764E+004  0.31580566E+003  0.29003988E+003  0.20854876E+004  0.20734852E+004
     2.2219  0.23128066E+004  0.50320299E+004  0.25290490E+003  0.18500076E+004  0.18459768E+004  0.31989839E+003  0.29391722E+003  0.21376025E+004  0.21250652E+004
     2.5872  0.23491099E+004  0.51727124E+004  0.25713763E+003  0.18881798E+004  0.18840507E+004  0.32414317E+003  0.29794190E+003  0.21923904E+004  0.21792865E+004
     2.9525  0.23870423E+004  0.53207822E+004  0.26157336E+003  0.19281500E+004  0.19239182E+004  0.32855055E+003  0.30212422E+003  0.22500675E+004  0.22363635E+004
     3.3179  0.24267370E+004  0.54768332E+004  0.26623013E+003  0.19700511E+004  0.19657119E+004  0.33313207E+003  0.30647547E+003  0.23108772E+004  0.22965375E+004
     3.6832  0.24683447E+004  0.56415318E+004  0.27112863E+003  0.20140303E+004  0.20095785E+004  0.33790040E+003  0.31100805E+003  0.23750945E+004  0.23600817E+004
     4.0485  0.25120376E+004  0.58156311E+004  0.27629277E+003  0.20602512E+004  0.20556812E+004  0.34286948E+003  0.31573559E+003  0.24430331E+004  0.24273083E+004
