 # Frequency[cm^-1] DOS PDOS
  7.6544078496E+00  2.5197486658E-02  2.4798E-03  1.3347E-03  1.7571E-03  2.0298E-03  7.8211E-04  4.9205E-04  4.9575E-04  8.2305E-04  5.1626E-04  6.8301E-04  1.6948E-03  9.9790E-04  1.4467E-03  1.3724E-03  1.1711E-03  1.5784E-03  1.1160E-03  1.7619E-03  1.5114E-03  1.1534E-03
  8.6544078496E+00  3.0338772113E-02  2.8254E-03  1.7473E-03  1.9951E-03  2.5779E-03  9.3464E-04  5.8099E-04  5.9410E-04  9.6431E-04  6.9787E-04  7.6849E-04  1.9873E-03  1.2451E-03  1.8353E-03  1.5571E-03  1.3740E-03  1.9294E-03  1.4461E-03  2.0153E-03  1.7169E-03  1.5461E-03
  9.6544078496E+00  3.4255812499E-02  2.9789E-03  2.1619E-03  2.2633E-03  2.9174E-03  1.0088E-03  6.8893E-04  7.0851E-04  1.0283E-03  8.3977E-04  8.2998E-04  2.1344E-03  1.5126E-03  2.1003E-03  1.7477E-03  1.5914E-03  2.1214E-03  1.7510E-03  2.1536E-03  1.8627E-03  1.8549E-03
  1.0654407850E+01  4.1516588950E-02  3.3976E-03  2.8448E-03  2.8591E-03  3.4612E-03  1.1565E-03  9.0081E-04  9.2498E-04  1.1703E-03  1.0277E-03  9.8290E-04  2.4453E-03  1.9818E-03  2.5206E-03  2.1800E-03  2.0187E-03  2.4619E-03  2.2290E-03  2.4869E-03  2.1988E-03  2.2675E-03
  1.1654407850E+01  3.4371716700E-02  2.6926E-03  2.4610E-03  2.4063E-03  2.8519E-03  9.3469E-04  7.8009E-04  8.0662E-04  9.4551E-04  8.5870E-04  7.8703E-04  1.9374E-03  1.6964E-03  2.1171E-03  1.8494E-03  1.6911E-03  1.9846E-03  1.9207E-03  2.0072E-03  1.7569E-03  1.8864E-03
  1.2654407850E+01  3.5796259742E-02  2.7349E-03  2.6207E-03  2.5027E-03  2.9929E-03  9.5744E-04  8.1591E-04  8.4511E-04  9.6498E-04  9.1193E-04  8.0393E-04  1.9729E-03  1.7874E-03  2.2476E-03  1.9378E-03  1.7546E-03  2.0463E-03  2.0601E-03  2.0697E-03  1.7813E-03  1.9881E-03
  1.3654407850E+01  3.7400271260E-02  2.8429E-03  2.7278E-03  2.6197E-03  3.1120E-03  9.8537E-04  8.4434E-04  8.7560E-04  9.9526E-04  9.6359E-04  8.4692E-04  2.0463E-03  1.8564E-03  2.3550E-03  2.0328E-03  1.8379E-03  2.1259E-03  2.1802E-03  2.1814E-03  1.8731E-03  2.0977E-03
  1.4654407850E+01  4.3011037676E-02  3.2697E-03  3.1385E-03  3.0431E-03  3.5309E-03  1.1129E-03  9.6986E-04  1.0080E-03  1.1276E-03  1.0986E-03  9.8509E-04  2.3349E-03  2.1311E-03  2.6836E-03  2.3556E-03  2.1504E-03  2.4309E-03  2.5321E-03  2.5375E-03  2.1766E-03  2.3941E-03
  1.5654407850E+01  4.3854500841E-02  3.2818E-03  3.2903E-03  3.1301E-03  3.5757E-03  1.1234E-03  1.0154E-03  1.0651E-03  1.1407E-03  1.0999E-03  9.7804E-04  2.3172E-03  2.2008E-03  2.7392E-03  2.4241E-03  2.2325E-03  2.4568E-03  2.6464E-03  2.5715E-03  2.1638E-03  2.4018E-03
  1.6654407850E+01  4.1350211689E-02  3.0859E-03  3.1224E-03  2.9813E-03  3.3484E-03  1.0578E-03  9.7240E-04  1.0253E-03  1.0771E-03  1.0129E-03  9.2110E-04  2.1596E-03  2.0780E-03  2.5780E-03  2.3135E-03  2.1218E-03  2.2968E-03  2.5066E-03  2.4294E-03  2.0413E-03  2.2206E-03
