 Eigenvectors and eigenvalues of the dynamical matrix
 ----------------------------------------------------
 
 
   1 f  =    7.478758 THz    46.990420 2PiTHz  249.464502 cm-1    30.929642 meV
             X         Y         Z           dx          dy          dz
     12.978330  0.929341 11.777452     0.050272   -0.000000   -0.017288  
      4.075984  2.788024 13.259029    -0.054628   -0.000000   -0.015951  
      4.839461  0.929341 11.777088    -0.058693    0.000000   -0.005261  
     13.741567  2.788024 13.259193     0.057990    0.000000   -0.002727  
      8.907040  0.929341 12.370505     0.000984   -0.000000   -0.001033  
      0.005627  2.788024 12.664576    -0.000433   -0.000000   -0.008118  
     14.311903  2.788024 10.580802    -0.000907    0.000000    0.012855  
      5.409563  0.929341 14.455386     0.001083    0.000000    0.013642  
     10.693180  0.929341 10.562509    -0.007655   -0.000000   -0.004317  
      1.790519  2.788024 14.473367     0.008784    0.000000   -0.003523  
      3.506921  2.788024 10.580402     0.002535    0.000000    0.013959  
     12.408767  0.929341 14.455686    -0.002410    0.000000    0.013380  
      7.123465  0.929341 10.561065     0.009912    0.000000   -0.007666  
     16.025723  2.788024 14.474552    -0.010432   -0.000000   -0.006387  
      0.007149  0.929341 10.898066     0.000042    0.000000    0.001568  
      8.908990  2.788024 14.136629    -0.000069    0.000000   -0.002007  
 
   6 f  =    6.975135 THz    43.826067 2PiTHz  232.665469 cm-1    28.846829 meV
             X         Y         Z           dx          dy          dz
     15.518985  0.929341 12.441821     0.001245    0.000000    0.006267  
      6.616854  2.788024 12.594077     0.003726    0.000000    0.009230  
      2.299255  0.929341 12.441442     0.000934    0.000000    0.005958  
     11.201891  2.788024 12.594295    -0.001463    0.000000    0.009644  
     12.978330  0.929341 11.777452    -0.011997    0.000000    0.001603  
      4.075984  2.788024 13.259029    -0.015093   -0.000000    0.011132  
      4.839461  0.929341 11.777088    -0.004673    0.000000   -0.001909  
     13.741567  2.788024 13.259193    -0.002043   -0.000000    0.014101  
      8.907040  0.929341 12.370505     0.003271    0.000000    0.093914  
