     #Energy           s           p           d       tot  
   -13.48376     0.00000     0.00000     0.00000     0.00000
   -13.47976     0.00000     0.00000     0.00000     0.00000
   -13.47576     0.00000     0.00000     0.00000     0.00000
   -13.47176     0.00000     0.00000     0.00000     0.00000
   -13.46876     0.00000     0.00000     0.00000     0.00000
   -13.46476     0.00000     0.00000     0.00000     0.00000
   -13.46076     0.00000     0.00000     0.00000     0.00000
   -13.45676     0.00000     0.00000     0.00000     0.00000
   -13.45276     0.00000     0.00000     0.00000     0.00000
   -13.44876     0.00000     0.00000     0.00000     0.00000
   -13.44576     0.00000     0.00000     0.00000     0.00000
   -13.44176     0.00000     0.00000     0.00000     0.00000
   -13.43776     0.00000     0.00000     0.00000     0.00000
   -13.43376     0.00000     0.00000     0.00000     0.00000
   -13.42976     0.00000     0.00000     0.00000     0.00000
   -13.42576     0.00000     0.00000     0.00000     0.00000
   -13.42176     0.00000     0.00000     0.00000     0.00000
   -13.41876     0.00000     0.00000     0.00000     0.00000
   -13.41476     0.00000     0.00000     0.00000     0.00000
   -13.41076     0.00000     0.00000     0.00000     0.00000
   -13.40676     0.00000     0.00000     0.00000     0.00000
   -13.40276     0.00000     0.00000     0.00000     0.00000
   -13.39876     0.00000     0.00000     0.00000     0.00000
   -13.39476     0.00000     0.00000     0.00000     0.00000
   -13.39176     0.00000     0.00000     0.00000     0.00000
   -13.38776     0.00000     0.00000     0.00000     0.00000
   -13.38376     0.00000     0.00000     0.00000     0.00000
   -13.37976     0.00000     0.00000     0.00000     0.00000
   -13.37576     0.00000     0.00000     0.00000     0.00000
   -13.37176     0.00000     0.00000     0.00000     0.00000
   -13.36776     0.00000     0.00000     0.00000     0.00000
   -13.36476     0.00000     0.00000     0.00000     0.00000
   -13.36076     0.00000     0.00000     0.00000     0.00000
   -13.35676     0.00000     0.00000     0.00000     0.00000
   -13.35276     0.00000     0.00000     0.00000     0.00000
   -13.34876     0.00000     0.00000     0.00000     0.00000
   -13.34476     0.00000     0.00000     0.00000     0.00000
   -13.34176     0.00000     0.00000     0.00000     0.00000
   -13.33776     0.00000     0.00000     0.00000     0.00000
   -13.33376     0.00000     0.00000     0.00000     0.00000
   -13.32976     0.00000     0.00000     0.00000     0.00000
   -13.32576     0.00000     0.00000     0.00000     0.00000
   -13.32176     0.00000     0.00000     0.00000     0.00000
   -13.31776     0.00000     0.00000     0.00000     0.00000
   -13.31476     0.00000     0.00000     0.00000     0.00000
   -13.31076     0.00000     0.00000     0.00000     0.00000
   -13.30676     0.00000     0.00000     0.00000     0.00000
   -13.30276     0.00000     0.00000     0.00000     0.00000
   -13.29876     0.00000     0.00000     0.00000     0.00000
   -13.29476     0.00000     0.00000     0.00000     0.00000
   -13.29076     0.00000     0.00000     0.00000     0.00000
   -13.28776     0.00000     0.00000     0.00000     0.00000
   -13.28376     0.00000     0.00000     0.00000     0.00000
   -13.27976     0.00000     0.00000     0.00000     0.00000
   -13.27576     0.00000     0.00000     0.00000     0.00000
   -13.27176     0.00000     0.00000     0.00000     0.00000
   -13.26776     0.00000     0.00000     0.00000     0.00000
   -13.26376     0.00000     0.00000     0.00000     0.00000
   -13.26076     0.00000     0.00000     0.00000     0.00000
   -13.25676     0.00000     0.00000     0.00000     0.00000
   -13.25276     0.00000     0.00000     0.00000     0.00000
   -13.24876     0.00000     0.00000     0.00000     0.00000
   -13.24476     0.00000     0.00000     0.00000     0.00000
   -13.24076     0.00000     0.00000     0.00000     0.00000
   -13.23776     0.00000     0.00000     0.00000     0.00000
   -13.23376     0.00000     0.00000     0.00000     0.00000
   -13.22976     0.00000     0.00000     0.00000     0.00000
   -13.22576     0.00000     0.00000     0.00000     0.00000
   -13.22176     0.00000     0.00000     0.00000     0.00000
   -13.21776     0.00000     0.00000     0.00000     0.00000
   -13.21376     0.00000     0.00000     0.00000     0.00000
   -13.21076     0.00000     0.00000     0.00000     0.00000
   -13.20676     0.00000     0.00000     0.00000     0.00000
   -13.20276     0.00000     0.00000     0.00000     0.00000
   -13.19876     0.00000     0.00000     0.00000     0.00000
   -13.19476     0.00000     0.00000     0.00000     0.00000
   -13.19076     0.00000     0.00000     0.00000     0.00000
   -13.18676     0.00000     0.00000     0.00000     0.00000
   -13.18376     0.00000     0.00000     0.00000     0.00000
   -13.17976     0.00000     0.00000     0.00000     0.00000
   -13.17576     0.00000     0.00000     0.00000     0.00000
   -13.17176     0.00000     0.00000     0.00000     0.00000
   -13.16776     0.00000     0.00000     0.00000     0.00000
   -13.16376     0.00000     0.00000     0.00000     0.00000
   -13.16076     0.00000     0.00000     0.00000     0.00000
   -13.15676     0.00000     0.00000     0.00000     0.00000
   -13.15276     0.00000     0.00000     0.00000     0.00000
   -13.14876     0.00000     0.00000     0.00000     0.00000
   -13.14476     0.00000     0.00000     0.00000     0.00000
   -13.14076     0.00000     0.00000     0.00000     0.00000
   -13.13676     0.00000     0.00000     0.00000     0.00000
   -13.13376     0.00000     0.00000     0.00000     0.00000
   -13.12976     0.00000     0.00000     0.00000     0.00000
   -13.12576     0.00000     0.00000     0.00000     0.00000
   -13.12176     0.00000     0.00000     0.00000     0.00000
   -13.11776     0.00000     0.00000     0.00000     0.00000
   -13.11376     0.00000     0.00000     0.00000     0.00000
   -13.10976     0.00000     0.00000     0.00000     0.00000
   -13.10676     0.00000     0.00000     0.00000     0.00000
   -13.10276     0.00000     0.00000     0.00000     0.00000
   -13.09876     0.00000     0.00000     0.00000     0.00000
   -13.09476     0.00000     0.00000     0.00000     0.00000
   -13.09076     0.00000     0.00000     0.00000     0.00000
   -13.08676     0.00000     0.00000     0.00000     0.00000
   -13.08276     0.00000     0.00000     0.00000     0.00000
   -13.07976     0.00000     0.00000     0.00000     0.00000
   -13.07576     0.00000     0.00000     0.00000     0.00000
   -13.07176     0.00000     0.00000     0.00000     0.00000
   -13.06776     0.00000     0.00000     0.00000     0.00000
   -13.06376     0.00000     0.00000     0.00000     0.00000
   -13.05976     0.00000     0.00000     0.00000     0.00000
   -13.05676     0.00000     0.00000     0.00000     0.00000
   -13.05276     0.00000     0.00000     0.00000     0.00000
   -13.04876     0.00000     0.00000     0.00000     0.00000
