      #Energy        TDOS
     -13.93476       0.00000
     -13.93076       0.00000
     -13.92676       0.00000
     -13.92276       0.00000
     -13.91876       0.00000
     -13.91476       0.00000
     -13.91176       0.00000
     -13.90776       0.00000
     -13.90376       0.00000
     -13.89976       0.00000
     -13.89576       0.00000
     -13.89176       0.00000
     -13.88776       0.00000
     -13.88476       0.00000
     -13.88076       0.00000
     -13.87676       0.00000
     -13.87276       0.00000
     -13.86876       0.00000
     -13.86476       0.00000
     -13.86076       0.00000
     -13.85776       0.00000
     -13.85376       0.00000
     -13.84976       0.00000
     -13.84576       0.00000
     -13.84176       0.00000
     -13.83776       0.00000
     -13.83476       0.00000
     -13.83076       0.00000
     -13.82676       0.00000
     -13.82276       0.00000
     -13.81876       0.00000
     -13.81476       0.00000
     -13.81076       0.00000
     -13.80776       0.00000
     -13.80376       0.00000
     -13.79976       0.00000
     -13.79576       0.00000
     -13.79176       0.00000
     -13.78776       0.00000
     -13.78376       0.00000
     -13.78076       0.00000
     -13.77676       0.00000
     -13.77276       0.00000
     -13.76876       0.00000
     -13.76476       0.00000
     -13.76076       0.00000
     -13.75776       0.00000
     -13.75376       0.00000
     -13.74976       0.00000
     -13.74576       0.00000
     -13.74176       0.00000
     -13.73776       0.00000
     -13.73376       0.00000
     -13.73076       0.00000
     -13.72676       0.00000
     -13.72276       0.00000
     -13.71876       0.00000
     -13.71476       0.00000
     -13.71076       0.00000
     -13.70676       0.00000
     -13.70376       0.00000
     -13.69976       0.00000
     -13.69576       0.00000
     -13.69176       0.00000
     -13.68776       0.00000
     -13.68376       0.00000
     -13.67976       0.00000
     -13.67676       0.00000
     -13.67276       0.00000
     -13.66876       0.00000
     -13.66476       0.00000
     -13.66076       0.00000
     -13.65676       0.00000
     -13.65376       0.00000
     -13.64976       0.00000
     -13.64576       0.00000
     -13.64176       0.00000
     -13.63776       0.00000
     -13.63376       0.00000
     -13.62976       0.00000
     -13.62676       0.00000
     -13.62276       0.00000
     -13.61876       0.00000
     -13.61476       0.00000
     -13.61076       0.00000
     -13.60676       0.00000
     -13.60276       0.00000
     -13.59976       0.00000
     -13.59576       0.00000
     -13.59176       0.00000
     -13.58776       0.00000
     -13.58376       0.00000
     -13.57976       0.00000
     -13.57576       0.00000
     -13.57276       0.00000
     -13.56876       0.00000
     -13.56476       0.00000
     -13.56076       0.00000
     -13.55676       0.00000
     -13.55276       0.00000
     -13.54976       0.00000
     -13.54576       0.00000
     -13.54176       0.00000
     -13.53776       0.00000
     -13.53376       0.00000
     -13.52976       0.00000
     -13.52576       0.00000
     -13.52276       0.00000
     -13.51876       0.00000
     -13.51476       0.00000
     -13.51076       0.00000
     -13.50676       0.00000
     -13.50276       0.00000
     -13.49876       0.00000
     -13.49576       0.00000
     -13.49176       0.00000
     -13.48776       0.00000
     -13.48376       0.00000
     -13.47976       0.00000
     -13.47576       0.00000
     -13.47176       0.00000
     -13.46876       0.00000
     -13.46476       0.00000
     -13.46076       0.00000
     -13.45676       0.00000
     -13.45276       0.00000
     -13.44876       0.00000
     -13.44576       0.00000
     -13.44176       0.00000
     -13.43776       0.00000
     -13.43376       0.00000
     -13.42976       0.00000
     -13.42576       0.00000
     -13.42176       0.00000
     -13.41876       0.00000
     -13.41476       0.00000
     -13.41076       0.00000
     -13.40676       0.00000
     -13.40276       0.00000
     -13.39876       0.00000
     -13.39476       0.00000
     -13.39176       0.00000
     -13.38776       0.00000
     -13.38376       0.00000
     -13.37976       0.00000
     -13.37576       0.00000
     -13.37176       0.00000
     -13.36776       0.00000
     -13.36476       0.00000
     -13.36076       0.00000
     -13.35676       0.00000
     -13.35276       0.00000
     -13.34876       0.00000
     -13.34476       0.00000
     -13.34176       0.00000
     -13.33776       0.00000
     -13.33376       0.00000
     -13.32976       0.00000
     -13.32576       0.00000
     -13.32176       0.00000
     -13.31776       0.00000
     -13.31476       0.00000
     -13.31076       0.00000
     -13.30676       0.00000
     -13.30276       0.00000
     -13.29876       0.00000
     -13.29476       0.00000
     -13.29076       0.00000
     -13.28776       0.00000
     -13.28376       0.00000
     -13.27976       0.00000
     -13.27576       0.00000
     -13.27176       0.00000
     -13.26776       0.00000
     -13.26376       0.00000
     -13.26076       0.00000
     -13.25676       0.00000
     -13.25276       0.00000
     -13.24876       0.00000
     -13.24476       0.00000
     -13.24076       0.00000
     -13.23776       0.00000
     -13.23376       0.00000
     -13.22976       0.00000
     -13.22576       0.00000
     -13.22176       0.00000
     -13.21776       0.00000
     -13.21376       0.00000
     -13.21076       0.00000
     -13.20676       0.00000
     -13.20276       0.00000
     -13.19876       0.00000
     -13.19476       0.00000
     -13.19076       0.00000
     -13.18676       0.00000
     -13.18376       0.00000
     -13.17976       0.00000
     -13.17576       0.00000
     -13.17176       0.00000
     -13.16776       0.00000
     -13.16376       0.00000
     -13.16076       0.00000
     -13.15676       0.00000
     -13.15276       0.00000
     -13.14876       0.00000
     -13.14476       0.00000
     -13.14076       0.00000
     -13.13676       0.00000
     -13.13376       0.00000
     -13.12976       0.00000
     -13.12576       0.00000
     -13.12176       0.00000
     -13.11776       0.00000
     -13.11376       0.00000
     -13.10976       0.00000
     -13.10676       0.00000
     -13.10276       0.00000
     -13.09876       0.00000
     -13.09476       0.00000
     -13.09076       0.00000
     -13.08676       0.00000
